Area code,Area name,Night Time Economy category,Night Time Economy 2001,Night Time Economy 2002,Night Time Economy 2003,Night Time Economy2004,Night Time Economy 2005,Night Time Economy 2006,Night Time Economy 2007,Night Time Economy 2008,Night Time Economy 2009,Night Time Economy 2010,Night Time Economy 2011,Night Time Economy 2012,Night Time Economy 2013,Night Time Economy 2014,Night Time Economy 2015,Night Time Economy 2016,Night Time Economy 2017,Pubs units 2017,Small pubs units 2017,Licensed Restaurant units 2017,Unlicensed Restaurant and Cafe units 2017,Takeaway Food Shops and Mobile Food Stand units 2017,Licensed Club units 2017
E12000007,London,Any Night Time Economy category,"82,240","83,015","84,175","83,865","86,040","86,035","87,720","89,530","91,165","89,785","89,550","94,770","97,100","102,200","109,035","114,865","121,285","3,530","1,680","7,990","5,785","5,300",570
E09000001,City of London,Any Night Time Economy category,"1,625","1,650","1,710","1,670","1,735","1,775","1,830","1,845","1,985","1,955","1,920","2,000","2,080","2,220","2,410","2,650","2,940",160,45,295,190,155,15
E09000002,Barking and Dagenham,Any Night Time Economy category,930,935,895,915,965,955,940,"1,000","1,015",990,"1,040","1,290","1,325","1,450","1,590","1,775","1,985",20,15,35,65,135,10
E09000003,Barnet,Any Night Time Economy category,"2,945","2,950","3,045","2,975","3,120","3,140","3,160","3,280","3,340","3,250","3,295","3,525","3,570","3,740","3,970","4,105","4,345",80,45,270,215,180,10
E09000004,Bexley,Any Night Time Economy category,"1,380","1,425","1,440","1,435","1,470","1,490","1,520","1,535","1,585","1,570","1,520","1,615","1,605","1,690","1,840","1,930","2,045",95,55,110,85,125,20
E09000005,Brent,Any Night Time Economy category,"2,515","2,525","2,550","2,505","2,570","2,615","2,635","2,660","2,800","2,760","2,760","2,895","2,900","3,095","3,345","3,525","3,715",70,50,190,170,155,15
E09000006,Bromley,Any Night Time Economy category,"2,115","2,120","2,230","2,310","2,370","2,360","2,410","2,485","2,485","2,440","2,445","2,555","2,645","2,715","2,870","2,970","3,120",95,40,200,150,175,20
E09000007,Camden,Any Night Time Economy category,"5,780","5,730","5,570","5,515","5,605","5,525","5,580","5,680","5,855","5,795","5,805","6,085","6,160","6,470","6,800","7,000","7,355",235,95,600,370,225,20
E09000008,Croydon,Any Night Time Economy category,"2,425","2,555","2,405","2,380","2,470","2,490","2,515","2,530","2,555","2,470","2,465","2,595","2,715","2,805","3,055","3,235","3,520",85,50,205,180,245,25
E09000009,Ealing,Any Night Time Economy category,"2,935","2,940","2,920","2,925","3,050","3,050","3,165","3,255","3,250","3,170","3,200","3,455","3,545","3,755","4,115","4,295","4,520",95,55,190,195,160,20
E09000010,Enfield,Any Night Time Economy category,"1,865","1,890","1,900","1,935","2,030","2,060","2,070","2,115","2,170","2,125","2,120","2,235","2,275","2,475","2,745","2,980","3,100",65,35,150,150,165,15
E09000011,Greenwich,Any Night Time Economy category,"1,585","1,590","1,645","1,645","1,720","1,720","1,760","1,775","1,755","1,775","1,735","1,945","1,980","2,100","2,290","2,520","2,735",75,45,145,115,140,15
E09000012,Hackney,Any Night Time Economy category,"2,170","2,265","2,290","2,390","2,430","2,445","2,480","2,595","2,710","2,700","2,805","3,115","3,335","3,690","4,020","4,410","4,845",175,100,285,215,175,15
E09000013,Hammersmith and Fulham,Any Night Time Economy category,"2,710","2,740","2,795","2,800","2,875","2,870","2,955","2,985","2,975","2,920","2,980","3,095","3,190","3,320","3,440","3,470","3,585",105,40,270,165,115,15
E09000014,Haringey,Any Night Time Economy category,"2,215","2,285","2,280","2,295","2,330","2,330","2,325","2,470","2,495","2,505","2,510","2,705","2,765","2,905","3,240","3,380","3,560",70,45,175,190,130,10
E09000015,Harrow,Any Night Time Economy category,"1,500","1,525","1,525","1,580","1,630","1,630","1,660","1,670","1,730","1,755","1,775","1,860","1,900","1,985","2,145","2,275","2,485",45,25,150,115,120,10
E09000016,Havering,Any Night Time Economy category,"1,365","1,365","1,460","1,480","1,560","1,545","1,605","1,660","1,685","1,635","1,595","1,695","1,730","1,835","2,000","2,115","2,300",60,25,130,120,155,20
E09000017,Hillingdon,Any Night Time Economy category,"2,400","2,425","2,440","2,370","2,405","2,405","2,450","2,550","2,605","2,545","2,545","2,655","2,780","2,920","3,185","3,350","3,570",85,40,165,140,185,20
E09000018,Hounslow,Any Night Time Economy category,"2,530","2,530","2,495","2,510","2,580","2,565","2,620","2,695","2,730","2,620","2,625","2,865","2,985","3,065","3,215","3,325","3,615",80,50,150,135,135,20
E09000019,Islington,Any Night Time Economy category,"3,525","3,600","3,470","3,375","3,345","3,435","3,570","3,560","3,705","3,660","3,585","3,790","3,905","4,190","4,540","4,680","4,810",205,115,370,205,185,10
E09000020,Kensington and Chelsea,Any Night Time Economy category,"3,705","3,565","3,485","3,435","3,380","3,325","3,410","3,365","3,380","3,390","3,140","3,175","3,170","3,160","3,225","3,310","3,325",120,35,400,145,80,20
E09000021,Kingston upon Thames,Any Night Time Economy category,"1,330","1,335","1,410","1,405","1,450","1,500","1,515","1,530","1,525","1,480","1,505","1,575","1,575","1,625","1,735","1,810","1,830",65,25,120,105,100,10
E09000022,Lambeth,Any Night Time Economy category,"2,740","2,840","3,230","3,165","3,110","3,020","3,130","3,295","3,320","3,250","3,240","3,320","3,425","3,655","3,850","4,145","4,335",140,65,295,220,175,15
E09000023,Lewisham,Any Night Time Economy category,"1,675","1,680","1,760","1,725","1,845","1,845","1,910","2,005","2,050","2,010","1,910","2,060","2,135","2,325","2,580","2,735","2,975",70,40,130,150,175,15
E09000024,Merton,Any Night Time Economy category,"1,495","1,520","1,540","1,540","1,575","1,570","1,665","1,640","1,745","1,735","1,725","1,765","1,835","1,960","2,145","2,290","2,380",45,20,120,120,110,10
E09000025,Newham,Any Night Time Economy category,"1,360","1,415","1,435","1,460","1,540","1,610","1,635","1,610","1,640","1,635","1,680","1,850","1,960","2,125","2,365","2,620","2,890",50,35,125,155,185,10
E09000026,Redbridge,Any Night Time Economy category,"1,525","1,530","1,565","1,615","1,640","1,630","1,670","1,705","1,765","1,775","1,810","1,950","2,020","2,140","2,325","2,515","2,755",55,20,130,135,165,10
E09000027,Richmond upon Thames,Any Night Time Economy category,"2,385","2,450","2,475","2,510","2,540","2,545","2,585","2,655","2,695","2,705","2,635","2,705","2,765","2,860","2,945","3,045","3,155",125,50,195,125,85,15
E09000028,Southwark,Any Night Time Economy category,"2,885","2,950","3,000","3,025","3,170","3,175","3,245","3,470","3,485","3,450","3,330","3,510","3,565","3,765","3,995","4,175","4,515",175,75,295,205,200,15
E09000029,Sutton,Any Night Time Economy category,"1,185","1,220","1,265","1,260","1,265","1,255","1,285","1,315","1,330","1,285","1,270","1,315","1,360","1,455","1,535","1,615","1,685",55,30,95,105,120,10
E09000030,Tower Hamlets,Any Night Time Economy category,"2,350","2,460","2,515","2,480","2,700","2,745","2,810","2,870","2,930","2,900","2,845","3,065","3,195","3,425","3,730","3,990","4,175",120,80,320,245,220,10
E09000031,Waltham Forest,Any Night Time Economy category,"1,410","1,425","1,480","1,510","1,605","1,670","1,735","1,750","1,785","1,745","1,745","1,915","1,965","2,075","2,370","2,655","2,895",45,25,135,160,155,15
E09000032,Wandsworth,Any Night Time Economy category,"3,285","3,290","3,320","3,295","3,410","3,460","3,555","3,620","3,680","3,555","3,505","3,610","3,610","3,785","3,865","4,110","4,220",130,40,275,190,165,20
E09000033,Westminster,Any Night Time Economy category,"10,400","10,295","10,640","10,435","10,550","10,270","10,320","10,360","10,410","10,245","10,480","10,985","11,135","11,415","11,555","11,875","12,005",425,160,"1,270",545,305,100
